회사명,공고제목,직무분야,근무지,경력/고용형태,학력,마감일,등록일,공고URL
(주)헬로서치,유명 1군 게임사 AI센터 인프라 구축 및 시스템 운영 담당 모집,"인프라, 클라우드, DevOps, AWS, Azure",서울 강남구,경력 4년↑ · 정규직,학력무관,~02.14(금),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776354
(주)맨토스파워,[글로벌 마케팅 리서치기업] Data Analyst 경력직 채용,"데이터분석가, 빅데이터, 데이터분석, Python, R",서울 마포구,경력 5년↑ · 정규직,대학교(4년)↑,~02.14(금),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776338
(주)헬로서치,코스피 상장 대기업 VR자회사 Technical Artist 모집,"AR(증강현실), C++, Unreal",서울 강남구,경력 4년↑ · 정규직,대학교(4년)↑,~02.14(금),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776324
(주)헬로서치,코스피 상장 대기업 VR자회사 디자인부문 전분야 모집,"AR(증강현실), 그래픽디자인, 모션그래픽, 인포그래픽, VFX",서울 강남구,경력 2년↑ · 정규직,대학교(4년)↑,~02.14(금),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776294
엠이케이솔루션즈,롤투롤 필름 비전검사 영업/개발/서비스 (이물검사),"이미지프로세싱, 컴퓨터비전, B2B, 광학설계, 광학/렌즈",인천 부평구,경력 10년↑ · 정규직,대학교(4년)↑,~03.16(일),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776280
(주)헬로서치,I군 게임사 AI센터 PMO 모집,"IT컨설팅, SAP, ABAP, 시스템설계, PM(프로젝트매니저)",서울 강남구,경력 5년↑ · 정규직,대학교(4년)↑,~02.14(금),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776278
(주)맨텍솔루션,고가용 클러스터 개발자 채용 (주1회 출근/재택),"데이터엔지니어, 백엔드/서버개발, 웹개발, 유지보수, 네트워크",서울 성동구,신입 · 경력 · 정규직,대학교(4년)↑,채용시,3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776277
(주)하이큐시스템,유지보수 전산(OA) 서비스 직원 정규직 채용,"유지보수, H/W, S/W",경기 성남시 분당구,경력무관 · 정규직,고졸↑,~02.14(금),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776240
(주)웨어포인트,(정규)클라우드(AWS) 서버  시스템 엔지니어 모집,"백엔드/서버개발, SE(시스템엔지니어), 클라우드, AWS, Docker",서울 강남구,경력 1년↑ · 정규직,대학교(4년)↑,채용시,3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776235
와디즈(주),백엔드 개발 (CORE개발/주문.결제),"백엔드/서버개발, 웹개발, 프론트엔드, DBA, SE(시스템엔지니어)",경기전체 외,10 ~ 17년 · 정규직,대학교(4년)↑,~02.17(월),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776228
(주)웨이센,Medical AI Research Engineer(Senior),"데이터분석가, SE(시스템엔지니어), 데이터마이닝, 데이터시각화, 딥러닝",서울전체 외,5 ~ 10년 · 정규직,대학교(4년)↑,~02.13(목),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776223
알서포트(주),[코스닥 상장사] Solution 웹 Full Stack 개발자 경력 채용,"기술지원, 웹개발, 유지보수, SI개발, 솔루션",서울전체 외,경력 3년↑ · 정규직,학력무관,상시채용,3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776219
(주) 더블유닷에이아이,프론트앤드 개발자 채용,"백엔드/서버개발, API, React",서울 서초구,2 ~ 10년 · 정규직,학력무관,상시채용,3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776213
한국로슈진단(주),각 부문별 직원 채용,"기술지원, 데이터엔지니어, 유지보수, IT컨설팅, SE(시스템엔지니어)",서울전체 외,신입 · 경력 · 정규직,대학교(4년)↑,~01.27(월),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776203&adsCategoryItem=effect_bold&
(주) 더블유닷에이아이,백앤드(Java) 개발자 채용,"백엔드/서버개발, API, AWS, Docker, Java",서울 서초구,5 ~ 10년 · 정규직,학력무관,상시채용,3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776195
유스엠(주),[2025년 상반기 유스엠] 영업팀 신입 및 경력사원채용,"웹개발, 유지보수, SI개발, 네트워크, 솔루션",서울 금천구,신입 · 경력 · 정규직,"대학(2,3년)↑",~02.14(금),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776194
지오씨,[삼성전자상주협력사] 4조3교대 물류장비 +유지보수 +엔지니어,"유지보수, 설비OP, 장비/공구, 설비보수, 하자보수",충남 천안시 서북구 외,경력무관 · 정규직,학력무관,~02.14(금),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776176
나우써치,[보안솔루션 강소기업] 보안컨설팅 보안컨설턴트,"보안컨설팅, ICT컨설팅, 솔루션, 기술영업, 네트워크영업",서울 마포구,3 ~ 20년 · 정규직,"대학(2,3년)↑",~02.14(금),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776149
나우써치,[보안솔루션강소기업] 해외인증 국제인증 담당,"정보보안, 인증심사원, 품질관리, 네트워크, 클라우드",서울 마포구,2 ~ 10년 · 정규직,"대학(2,3년)↑",~02.14(금),3시간 전 등록,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=49776140
